model,data_num,iter,side_effect,test_fold,auc,tn,fp,fn,tp,cutoff point
Adaboost,360,5,side_effect_4,0,0.7010577521353017,169,80,27,44,0.49
Adaboost,360,5,side_effect_4,1,0.6359517348323318,191,77,42,35,0.49
Adaboost,360,5,side_effect_4,2,0.7481260184682238,177,86,18,52,0.49
Adaboost,360,5,side_effect_4,3,0.6552961847389559,191,58,37,43,0.49
Adaboost,360,5,side_effect_4,4,0.7510882073347674,200,53,26,53,0.49
Adaboost,360,6,side_effect_4,0,0.7503800547278808,163,90,18,60,0.48
Adaboost,360,6,side_effect_4,1,0.6724513618677044,89,168,8,67,0.47
Adaboost,360,6,side_effect_4,2,0.7681992337164751,214,47,27,47,0.49
Adaboost,360,6,side_effect_4,3,0.7038247793396534,206,60,32,37,0.49
Adaboost,360,6,side_effect_4,4,0.7537414965986394,152,93,18,63,0.48
Adaboost,360,7,side_effect_4,0,0.7260458141579192,126,107,20,63,0.48
Adaboost,360,7,side_effect_4,1,0.6855721393034826,199,69,30,45,0.49
Adaboost,360,7,side_effect_4,2,0.6585357824741589,117,132,16,45,0.48
Adaboost,360,7,side_effect_4,3,0.7166767038040751,172,71,29,53,0.49
Adaboost,360,7,side_effect_4,4,0.7400974321617192,165,124,15,61,0.48
Adaboost,360,8,side_effect_4,0,0.7297878727236342,185,78,23,53,0.49
Adaboost,360,8,side_effect_4,1,0.6636439441317491,185,61,36,42,0.49
Adaboost,360,8,side_effect_4,2,0.6131623931623933,184,86,34,31,0.49
Adaboost,360,8,side_effect_4,3,0.66253591954023,163,69,41,55,0.49
Adaboost,360,8,side_effect_4,4,0.7041423640042852,243,28,36,26,0.5
Adaboost,360,9,side_effect_4,0,0.6934571175950486,214,46,42,45,0.49
Adaboost,360,9,side_effect_4,1,0.5625101963130132,245,14,57,14,0.51
Adaboost,360,9,side_effect_4,2,0.5508490389998134,143,90,44,48,0.48
Adaboost,360,9,side_effect_4,3,0.7384001797550838,176,82,15,54,0.49
Adaboost,360,9,side_effect_4,4,0.6718433062880325,212,60,29,29,0.49
MLP,360,0,side_effect_4,0,0.6769196025293587,187,83,34,48,0.15
MLP,360,0,side_effect_4,1,0.7207977207977208,140,112,15,63,0.13
MLP,360,0,side_effect_4,2,0.6184150251946863,191,45,41,33,0.29
MLP,360,0,side_effect_4,3,0.6986849970113569,160,79,25,45,0.2
MLP,360,0,side_effect_4,4,0.7233357366017784,201,84,23,50,0.31
MLP,360,1,side_effect_4,0,0.7754101133096567,183,60,22,51,0.43
MLP,360,1,side_effect_4,1,0.3900039354584809,225,17,76,8,0.26
MLP,360,1,side_effect_4,2,0.7070754227616973,185,53,34,47,0.32
MLP,360,1,side_effect_4,3,0.7236533957845434,211,62,23,38,0.3
MLP,360,1,side_effect_4,4,0.6955352339967725,176,110,20,58,0.21
MLP,360,2,side_effect_4,0,0.7547291915571486,192,56,27,54,0.27
MLP,360,2,side_effect_4,1,0.6778252249504346,206,31,44,39,0.29
MLP,360,2,side_effect_4,2,0.6796751635461312,202,84,20,42,0.31
