model,data_num,iter,side_effect,test_fold,auc,,acc,,precision,,recall,,tn,fp,fn,tp,cutoff point
RF,360,2,side_effect_1,4,0.736737235,,0.685878963,,0.285714286,,0.654545455,,202,90,19,36,0.19
RF,360,3,side_effect_1,0,0.789173554,,0.752351097,,0.319587629,,0.704545455,,209,66,13,31,0.23
RF,360,3,side_effect_1,1,0.754351343,,0.672619048,,0.299270073,,0.745454545,,185,96,14,41,0.15
RF,360,3,side_effect_1,2,0.748120301,,0.816770186,,0.476190476,,0.535714286,,233,33,26,30,0.34
RF,360,3,side_effect_1,3,0.741889011,,0.671779141,,0.355072464,,0.731343284,,170,89,18,49,0.18
RF,360,3,side_effect_1,4,0.744547801,,0.688202247,,0.409937888,,0.804878049,,179,95,16,66,0.17
RF,360,4,side_effect_1,0,0.771570513,,0.803125,,0.479452055,,0.583333333,,222,38,25,35,0.33
RF,360,4,side_effect_1,1,0.755145278,,0.716814159,,0.344537815,,0.694915254,,202,78,18,41,0.21
RF,360,4,side_effect_1,2,0.769759255,,0.74617737,,0.428571429,,0.661764706,,199,60,23,45,0.2
RF,360,4,side_effect_1,3,0.754978456,,0.646017699,,0.311688312,,0.774193548,,171,106,14,48,0.21
RF,360,4,side_effect_1,4,0.758553275,,0.760479042,,0.376237624,,0.690909091,,216,63,17,38,0.18
RF,360,5,side_effect_1,0,0.790851776,,0.714723926,,0.357723577,,0.75862069,,189,79,14,44,0.22
RF,360,5,side_effect_1,1,0.722888302,,0.768987342,,0.402439024,,0.578947368,,210,49,24,33,0.28
RF,360,5,side_effect_1,2,0.799562527,,0.749253731,,0.447154472,,0.774647887,,196,68,16,55,0.18
RF,360,5,side_effect_1,3,0.743533315,,0.619047619,,0.259493671,,0.788461538,,167,117,11,41,0.14
RF,360,5,side_effect_1,4,0.74396645,,0.710982659,,0.355932203,,0.636363636,,204,76,24,42,0.25
RF,360,6,side_effect_1,0,0.720282867,,0.57278481,,0.287356322,,0.819672131,,131,124,11,50,0.13
RF,360,6,side_effect_1,1,0.752679739,,0.746438746,,0.330357143,,0.725490196,,225,75,14,37,0.22
RF,360,6,side_effect_1,2,0.745898437,,0.723214286,,0.444444444,,0.65,,191,65,28,52,0.22
RF,360,6,side_effect_1,3,0.714795587,,0.729299363,,0.290322581,,0.586956522,,202,66,19,27,0.2
RF,360,6,side_effect_1,4,0.77072354,,0.786549708,,0.461538462,,0.636363636,,227,49,24,42,0.23
RF,360,7,side_effect_1,0,0.780122823,,0.674050633,,0.293233083,,0.8125,,174,94,9,39,0.19
RF,360,7,side_effect_1,1,0.749807139,,0.702941176,,0.3,,0.795918367,,200,91,10,39,0.18
RF,360,7,side_effect_1,2,0.782082324,,0.781538462,,0.431818182,,0.644067797,,216,50,21,38,0.26
RF,360,7,side_effect_1,3,0.695521763,,0.644117647,,0.380645161,,0.702380952,,160,96,25,59,0.15
